session_id,timestamp_iso,ms_elapsed,event_type,step,condition,target_product_id,clicked_element,click_x,click_y,time_to_first_click_ms,is_unintended_interaction,question_id,question_text,answer_value,is_validation_question,validation_passed,completed
S-2026-2290,2026-05-20T12:46:53.608Z,1,session_start,0,,,,,,,,,,,,,
S-2026-2290,2026-05-20T12:46:57.040Z,3433,page_enter,1,,,,,,,,,,,,,
S-2026-2290,2026-05-20T12:46:57.144Z,3538,task_start,1,standard,1,,,,,,,,,,,
S-2026-2290,2026-05-20T12:46:57.145Z,3538,page_enter,1,standard,1,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:02.395Z,8788,page_exit,1,standard,1,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:02.421Z,8815,product_view,1,standard,1,"Wireless Earbuds Pro",,,,,,,,,,
S-2026-2290,2026-05-20T12:47:02.422Z,8815,page_enter,1,standard,1,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:05.476Z,11869,button_click,1,standard,1,add_to_cart,847,612,3052,0,,,,,,
S-2026-2290,2026-05-20T12:47:05.484Z,11877,task_complete,1,standard,1,add_to_cart,847,612,3052,0,,,,,,1
S-2026-2290,2026-05-20T12:47:05.490Z,11883,page_exit,1,standard,1,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:07.729Z,14122,page_enter,2,,,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:07.762Z,14155,task_start,2,,,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:07.763Z,14156,page_enter,2,,,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:16.185Z,22578,distraction_click,2,,,"Portable Phone Stand",330,645,,,,,,,,
S-2026-2290,2026-05-20T12:47:16.186Z,22580,page_exit,2,,,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:17.303Z,23696,page_enter,3,,,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:17.334Z,23727,task_start,3,standard,2,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:17.335Z,23728,page_enter,3,standard,2,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:22.599Z,28992,page_exit,3,standard,2,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:22.622Z,29016,page_enter,3,standard,2,,,,,,,,,,,
S-2026-2290,2026-05-20T12:47:22.626Z,29019,product_view,3,standard,2,"Water Bottle",,,,,,,,,,
S-2026-2290,2026-05-20T12:47:24.321Z,30714,button_click,3,standard,2,add_to_cart,941,608,1694,0,,,,,,
